Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,3.93688800,-0.00045778
0.00007143,2.60933200,-0.00061037
0.00014286,2.73140600,-0.00061037
0.00021430,3.86059100,0.00027467
0.00028573,6.66829400,-0.00167852
0.00035716,5.61540600,-0.00241096
0.00042859,5.34073900,-0.00061037
0.00050002,4.24207300,-0.00009156
0.00057146,6.59199800,0.00314341
0.00064289,4.39466500,0.00097659
0.00071432,2.53303600,-0.00128178
0.00078575,4.66933200,-0.00158696
0.00085718,4.92873900,-0.00106815
0.00092862,3.37229500,-0.00061037
0.00100005,3.98266500,-0.00091556
0.00107148,2.91451700,0.00088504
0.00114291,5.18814600,0.00027467
0.00121434,5.95110900,0.00170904
0.00128578,5.18814600,0.00000000
0.00135721,4.54725700,-0.00189215
0.00142864,2.42622100,0.00125126
0.00150007,2.80770300,-0.00128178
0.00157150,5.08133200,0.00051881
0.00164294,5.08133200,-0.00341807
0.00171437,1.48014800,-0.00045778
0.00178580,5.15762800,-0.00228889
0.00185723,5.87481300,0.00000000
0.00192866,1.92266600,0.00210578
0.00200010,2.99081400,-0.00070193
0.00207153,4.69985000,-0.00213630
0.00214296,4.59303500,0.00180059
0.00221439,4.80666500,-0.00115970
0.00228582,3.98266500,0.00000000
0.00235726,6.86666400,-0.00234993
0.00242869,2.53303600,-0.00091556
0.00250012,4.51673900,-0.00024415
0.00257155,5.15762800,0.00051881
0.00264298,2.30414700,-0.00100711
0.00271442,2.30414700,-0.00070193
0.00278585,3.21970200,0.00216681
0.00285728,5.76799800,-0.00228889
0.00292871,4.01318400,-0.00271615
0.00300014,5.64592400,-0.00061037
0.00307158,0.21362960,-0.00076296
0.00314301,5.38651700,-0.00128178
0.00321444,4.05896100,-0.00198370
0.00328587,4.36414700,-0.00183111
0.00335730,2.68562900,-0.00228889
0.00342874,2.50251800,-0.00204474
0.00350017,1.09866600,-0.00378430
0.00357160,3.78429500,-0.00128178
0.00364303,0.44251840,-0.00198370
0.00371446,2.07525800,0.00000000
0.00378590,3.17392500,-0.00152593
0.00385733,2.30414700,0.00021363
0.00392876,4.28785000,-0.00106815
0.00400019,1.92266600,-0.00280770
0.00407162,3.93688800,0.00170904
0.00414306,5.03555400,-0.00085452
0.00421449,2.60933200,-0.00045778
0.00428592,5.08133200,-0.00115970
0.00435735,3.44859100,-0.00296030
0.00442878,4.85244300,-0.00219733
0.00450022,1.40385100,0.00186163
0.00457165,0.67140720,-0.00070193
0.00464308,1.58696200,0.00155644
0.00471451,5.11185000,-0.00106815
0.00478594,4.08948000,-0.00189215
0.00485738,3.37229500,0.00103763
0.00492881,3.03659200,-0.00137333
0.00500024,4.13525800,-0.00128178
0.00507167,3.93688800,-0.00030519
